calls_ivr_id,gen_customer_phone,gen_document_identification
1671033017.355762,400000001,10000873
1671467587.376826,400000001,10000873
1671562597.36733,400000001,10000873
1670854729.3118911,400000002,10002319
1670922051.3156431,400000002,10002319
1670943060.30939,400000003,10006237
1670943336.3483019,400000003,10006237
1671475098.3173,400000005,10004122
1670850469.2727859,400000006,10009129
1671106963.15239,400000006,10009129
1671216242.368398,400000006,10009129
1671217555.3684809,400000006,10009129
1671363964.33079,400000006,10009129
1670750179.295752,400000007,10007459
1670835039.26901,400000007,10007459
1671441463.373028,400000007,10007459
1670958080.31172,400000008,10005558
1671132029.17916,400000010,10008545
1670846094.3003011,400000011,10003675
1670835320.297574,400000013,10006660
1671096258.35883,400000014,10006405
1671036044.32708,400000015,10007651
1671436545.26252,400000015,10007651
1671530752.3382511,400000015,10007651
1671547333.3508191,400000015,10007651
1671527244.32792,400000016,10001614
1671132434.17938,400000017,10003348
1670863515.31325,400000018,10007694
1670863998.3416669,400000018,10007694
1670865484.313647,400000018,10007694
1670950780.4198,400000019,10000148
1671133795.3342569,400000020,10004123
1671178398.3347061,400000020,10004123
1670853628.273174,400000021,10002040
1671008643.351975,400000022,10003172
1671008853.3129079,400000022,10003172
1671302789.24644,400000024,10003476
1671214201.2259,400000025,10005121
1670918955.343673,400000026,10003702
1671123429.362689,400000027,10007889
1671124235.17165,400000027,10007889
1670930021.3071489,400000028,10004543
1671454416.29568,400000029,10001272
1671123318.3626781,400000030,10006282
1670860495.3025761,400000032,10002068
1671093275.3582759,400000032,10002068
1671378707.3715241,400000032,10002068
1671463428.376394,400000032,10002068
1670954907.321429,400000033,10008084
1671450922.3341229,400000034,10000021
1670957036.31162,400000035,10007863
1671477435.336885,400000035,10007863
1671182117.335146,400000038,10004401
1670844628.3100641,400000039,10005958
1671038579.35659,400000039,10005958
1671039333.3566661,400000039,10005958
1671541552.38098,400000040,10000024
1671264431.23318,400000041,10005222
1671284694.3297629,400000041,10005222
1671033245.10248,400000043,10001960
1670930602.3461609,400000044,10002596
1670930632.307291,400000044,10002596
1671537746.3499031,400000045,10004832
1671538101.3394229,400000045,10004832
1670923926.344631,400000048,10003113
1670920484.3153889,400000049,10000916
1671444638.3736529,400000049,10000916
1671106135.321111,400000050,10005274
1671197893.367048,400000051,10005196
1671473414.31612,400000052,10003690
1670855270.311976,400000053,10002496
1670920827.3052609,400000054,10002925
